syscall,API importance,API importance (accurate)
mmap(9),1.000000,1-10^-383.950
vfork(58),1.000000,1-10^-383.599
exit(60),1.000000,1-10^-381.586
exit_group(231),1.000000,1-10^-381.585
write(1),1.000000,1-10^-381.584
read(0),1.000000,1-10^-381.584
open(2),1.000000,1-10^-381.584
gettid(186),1.000000,1-10^-381.584
madvise(28),1.000000,1-10^-381.584
munmap(11),1.000000,1-10^-381.584
futex(202),1.000000,1-10^-381.584
rt_sigprocmask(14),1.000000,1-10^-381.584
fcntl(72),1.000000,1-10^-381.584
close(3),1.000000,1-10^-381.584
getuid(102),1.000000,1-10^-381.584
mprotect(10),1.000000,1-10^-381.584
getgid(104),1.000000,1-10^-381.584
sched_yield(24),1.000000,1-10^-381.584
getpid(39),1.000000,1-10^-381.584
stat(4),1.000000,1-10^-381.584
fstat(5),1.000000,1-10^-381.584
lstat(6),1.000000,1-10^-381.584
lseek(8),1.000000,1-10^-381.584
tgkill(234),1.000000,1-10^-381.584
getdents(78),1.000000,1-10^-381.584
writev(20),1.000000,1-10^-381.584
getcwd(79),1.000000,1-10^-381.584
clock_getres(229),1.000000,1-10^-381.584
getrlimit(97),1.000000,1-10^-381.584
newfstatat(262),1.000000,1-10^-381.485
openat(257),1.000000,1-10^-381.485
dup2(33),1.000000,1-10^-381.483
clone(56),1.000000,1-10^-381.337
execve(59),1.000000,1-10^-381.236
kill(62),1.000000,1-10^-381.235
setresuid(117),1.000000,1-10^-381.225
setresgid(119),1.000000,1-10^-381.225
setpgid(109),1.000000,1-10^-381.225
sched_setscheduler(144),1.000000,1-10^-381.079
sched_setparam(142),1.000000,1-10^-380.976
mremap(25),1.000000,1-10^-327.699
ioctl(16),1.000000,1-10^-327.373
access(21),1.000000,1-10^-296.202
socket(41),1.000000,1-10^-291.347
connect(42),1.000000,1-10^-290.102
poll(7),1.000000,1-10^-281.915
sendto(44),1.000000,1-10^-280.388
recvmsg(47),1.000000,1-10^-275.344
dup(32),1.000000,1-10^-273.073
unlink(87),1.000000,1-10^-259.714
uname(63),1.000000,1-10^-256.548
nanosleep(35),1.000000,1-10^-246.550
wait4(61),1.000000,1-10^-244.494
readv(19),1.000000,1-10^-238.130
geteuid(107),1.000000,1-10^-230.291
readlink(89),1.000000,1-10^-210.425
bind(49),1.000000,1-10^-208.902
pipe(22),1.000000,1-10^-198.758
getsockname(51),1.000000,1-10^-196.473
mkdir(83),1.000000,1-10^-195.244
select(23),1.000000,1-10^-193.265
rename(82),1.000000,1-10^-192.553
chdir(80),1.000000,1-10^-188.407
getegid(108),1.000000,1-10^-180.049
chmod(90),1.000000,1-10^-174.302
setsockopt(54),1.000000,1-10^-165.600
fchmod(91),1.000000,1-10^-159.068
statfs(137),1.000000,1-10^-158.712
recvfrom(45),1.000000,1-10^-155.321
sendmsg(46),1.000000,1-10^-153.536
fsync(74),1.000000,1-10^-153.230
sched_get_priority_max(146),1.000000,1-10^-148.916
sched_get_priority_min(147),1.000000,1-10^-147.491
ftruncate(77),1.000000,1-10^-147.424
umask(95),1.000000,1-10^-144.750
rmdir(84),1.000000,1-10^-141.381
pipe2(293),1.000000,1-10^-134.900
getsockopt(55),1.000000,1-10^-119.762
chown(92),1.000000,1-10^-119.030
link(86),1.000000,1-10^-118.617
fchown(93),1.000000,1-10^-116.502
sigaltstack(131),1.000000,1-10^-115.305
shutdown(48),1.000000,1-10^-109.414
getppid(110),1.000000,1-10^-106.050
setuid(105),1.000000,1-10^-101.377
getresuid(118),1.000000,1-10^-101.025
getresgid(120),1.000000,1-10^-101.012
symlink(88),1.000000,1-10^-101.011
fstatfs(138),1.000000,1-10^-98.062
getpeername(52),1.000000,1-10^-97.443
utimes(235),1.000000,1-10^-92.176
socketpair(53),1.000000,1-10^-90.571
alarm(37),1.000000,1-10^-89.172
setsid(112),1.000000,1-10^-87.330
getxattr(191),1.000000,1-10^-84.828
lchown(94),1.000000,1-10^-82.530
fallocate(285),1.000000,1-10^-82.029
pread64(17),1.000000,1-10^-79.958
eventfd2(290),1.000000,1-10^-79.393
inotify_add_watch(254),1.000000,1-10^-78.027
fgetxattr(193),1.000000,1-10^-77.703
getgroups(115),1.000000,1-10^-75.302
shmctl(31),1.000000,1-10^-74.624
pwrite64(18),1.000000,1-10^-74.028
inotify_init(253),1.000000,1-10^-73.877
lgetxattr(192),1.000000,1-10^-73.302
setxattr(188),1.000000,1-10^-72.452
shmat(30),1.000000,1-10^-71.786
prctl(157),1.000000,1-10^-71.141
inotify_rm_watch(255),1.000000,1-10^-70.352
listen(50),1.000000,1-10^-69.384
inotify_init1(294),1.000000,1-10^-68.333
setgid(106),1.000000,1-10^-67.707
accept(43),1.000000,1-10^-67.369
shmdt(67),1.000000,1-10^-65.968
fadvise64(221),1.000000,1-10^-65.493
shmget(29),1.000000,1-10^-64.996
llistxattr(195),1.000000,1-10^-62.434
listxattr(194),1.000000,1-10^-60.909
flistxattr(196),1.000000,1-10^-60.906
splice(275),1.000000,1-10^-57.960
setrlimit(160),1.000000,1-10^-50.798
setgroups(116),1.000000,1-10^-48.163
epoll_ctl(233),1.000000,1-10^-45.601
utime(132),1.000000,1-10^-42.899
epoll_wait(232),1.000000,1-10^-41.699
epoll_create1(291),1.000000,1-10^-41.157
setpriority(141),1.000000,1-10^-37.939
dup3(292),1.000000,1-10^-37.673
sched_getparam(143),1.000000,1-10^-34.406
mknod(133),1.000000,1-10^-33.352
sched_getscheduler(145),1.000000,1-10^-33.271
chroot(161),1.000000,1-10^-32.696
sync(162),1.000000,1-10^-32.217
fchdir(81),1.000000,1-10^-31.552
creat(85),1.000000,1-10^-31.508
